name,cap_tracker_2023_link,display_name
STEVE GIST,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Steve-Gist/,
ALANAH GRIFFITH,,
ALEXANDER CLARK,,
ALEXANDER COLAFRANCESCO,,
AMY REGIER,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Amy-Regier/,
ANJA WOOKEYHUFFMAN,,
ANNE ROSS,,
ANNE WOODLAND,,
ANTHONY NICASTRO,,
BECKY BEARD,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Becky-Beard/,
BECKY EDWARDS,,
BETH SIBERT,,
BILL HODGES,,
BILL MERCER,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Bill-Mercer/,
BOB CARTER,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Bob-Carter/,
BOB PHALEN,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Bob-Phalen/,
BRAD BARKER,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Brad-Barker/,
BRAD DAVIS,,
BRANDON LER,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Brandon-Ler/,
BRAXTON MITCHELL,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Braxton-Mitchell/,
BRIAN CLOSE,,
C B PEARSON,,
CADE SCATOLINI,,
CALEB HINKLE,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Caleb-Hinkle/,
CARL ANDERSON,,
CARL GLIMM,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Carl-Glimm/,
CAROLE BOERNER,,
CATHY MITCHELL,,
CHARLES A HEADLEY,,
CHRIS FRIEDEL,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Chris-Friedel/,
CHRISTIAN DANIEL TAKESENEMY,,
CHRISTOPHER POPE,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Chris-Pope/,
CHRISTOPHER ST JEAN,,
COLTON LITTLE,,
CONNIE KEOGH,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Connie-Keogh/,
CORA NEUMANN,,
COURTENAY SPRUNGER,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Courtenay-Sprunger/,
CURTIS J COCHRAN,,
CURTIS SCHOMER,,
DAKOTA V ADAMS,,
DANA  DARLINGTON,,
DARLEAN NEWMAN,,
DAVE FERN,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Dave-Fern/,
DAVE KESLER III,,
DAVID ARENDS,,
DAVID AUSTIN,,
DAVID BEDEY,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/David-Bedey/,
DAVID WILLIAMS,,
DEBO POWERS,,
DEMETRI JOSLIN,,
DENISE BAUM,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Denise-Baum/,
DENLEY M LOGE,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Denley-Loge/,
DEREK J HARVEY,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Derek-Harvey/,
DERREN AUGER,,
DEVIN JACKSON,,
DEVIN T MARCONI,,
DONAVON HAWK,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Donavon-Hawk/,
DOUG ADAMS,,
E WYLIE GALT,,
ED BUTTREY,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Ed-Buttrey/,
ED BYRNE,,
ED HILL,,
ED STAFMAN,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Ed-Stafman/,
ELLIE HILL BOLDMAN,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Ellie-Boldman/,
ELLIE KERNS,,
EMMA KERR CARPENTER,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Emma-Kerr-Carpenter/,
ERIC ALBUS,,
ERIC MATTHEWS,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Eric-Matthews/,
ERIC TILLEMAN,,
EVAN SCHROEDEL,,
FIONA NAVE,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Fiona-Nave/,
FRANK J SMITH,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Frank-Smith/,
GARY W PARRY,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Gary-Parry/,
GAYLE GEORGE LAMMERS,,
GEORDIE STEILEN,,
GEORGE NIKOLAKAKOS,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/George-Nikolakakos/,
GREG HERTZ,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Greg-Hertz/,
GREG KMETZ,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Greg-Kmetz/,
GREG OBLANDER,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Greg-Oblander/,
GREG OVERSTREET,,
GUTHRIE QUIST,,
GWEN NICHOLSON,,
HANNAH TREBAS,,
JADE SOOKTIS,,
JAMES H BERGSTROM,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/James-Bergstrom/,
JAMES REAVIS,,
JAMIE L ISALY,,
JANE GILLETTE,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Jane-Gillette/,
JANE WEBER,,
JARED A FRERICHS,,
JASON GUNDERSON,,
JEDEDIAH HINKLE,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Jedediah-Hinkle/,
JEFF STANEK,,
JEFFREY BENSON,,
JENNIFER CARLSON,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Jennifer-Carlson/,
JENNIFER LYNCH,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Jennifer-Lynch/,
JEREMIAH DAWSON,,
JEREMY MYGLAND,,
JERRY SCHILLINGER,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Jerry-Schillinger/,
JESSICA WICKS,,
JILL COHENOUR,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Jill-Cohenour/,
JILL SARK,,
JODEE ETCHART,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Jodee-Etchart/,
JOE READ,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Joe-Read/,
JOHN FITZPATRICK,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/John-Fitzpatrick/,
JOHN HANSEN,,
JOHN LOONEY SR,,
JONATHAN KARLEN,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Jonathan-Karlen/,
JONATHAN WINDY BOY,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Jonathan-Windy-Boy/,
JOSH KASSMIER,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Josh-Kassmier/,
JOSHUA VISOCAN,,
JULIE DOOLING,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Julie-Dooling/,
KAREN LYNCOLN,,
KATHY HOILAND,,
KATHY LOVE,,
KATIE SULLIVAN,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Katie-Sullivan/,
KATIE ZOLNIKOV,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Katie-Zolnikov/,
KELLY KORTUM,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Kelly-Kortum/,
KEN WALSH,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Kenneth-Walsh/,
KIM DAILEY,,
KYLE MCMURRAY,,
LANCE FOURSTAR,,
LARRY BREWSTER,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Larry-Brewster/,
LAURA SMITH,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Laura-Smith/,
LEE DEMING,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Lee-Deming/,
LEE HUESTIS,,
LELA GRAHAM,,
LINDA E REKSTEN,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Linda-Reksten/,
LINDSEY JORDAN,,
LISA VERLANIC,,
LLEW JONES,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Llew-Jones/,
LOLA SHELDON-GALLOWAY,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Lola-Sheldon-Galloway/,
LUI SALINA,,
LUKAS SCHUBERT,,
LYN BENNETT,,
LYN HELLEGAARD,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Lyn-Hellegaard/,
MARC J LEE,,
MARILYN MARLER,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Marilyn-Marler/,
MARK (MJ) MCGINLEY,,
MARK A THANE,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Mark-Thane/,
MARK H NICHOLSON,,
MARK L WICKS,,
MARQUIS L LAUDE,,
MARTA BERTOGLIO,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Marta-Bertoglio/,
MARTY MALONE,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Marty-Malone/,
MARY ANN NICHOLAS,,
MARY M CAFERRO,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Mary-Caferro/,
MATT REGIER,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Matt-Regier/,
MELISSA ROMANO,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Melissa-Romano/,
MELISSA SMITH,,
MELODY CUNNINGHAM,,
MICHELE BINKLEY,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Michele-Binkley/,
MIKE FOX,,
MIKE NEWTON,,
MIKE VINTON,,
MIKE YAKAWICH,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Mike-Yakawich/,
MILES KNUDSEN,,
MORGAN THIEL,,
NANCY KEMLER,,
NEIL DURAM,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Neil-Duram/,
NELLY NICOL,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Nelly-Nicol/,
PATRICIA RAE PEPPERS,
PAUL C FIELDER,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Paul-Fielder/,
PAUL TUSS,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Paul-Tuss/,
PETER STRAND,,
RACHEL BURRIGHT,,
RALPH FOSTER,,
RANDYN GREGG,,
RAY SHAW,,
RHONDA KNUDSEN,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Rhonda-Knudsen/,
RICHARD L ARMERDING,,
RINA FONTANA MOORE,,
RIO ROLAND,,
ROB TRACY,,
RON MARSHALL,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Ron-Marshall/,
RONALD K PAULICK,,
ROY HANDLEY,,
RUDOLF HADEN,,
RUSSEL MINER,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Russ-Miner/,
SANDOR R HOPKINS,,
SARA NOVAK,,
SCOTT P DEMAROIS,,
SCOTT ROSENZWEIG,,
SCOTT SALES,,
SHANE KLAKKEN,,
SHANNON MANESS,,
SHARON STEWART PEREGOY,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Sharon-Stewart-Peregoy/,
SHAUN PANDINA,,
SHAWN C GIESICK,,
SHELLY R FYANT,,
SHERRY ESSMANN,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Sherry-Essmann/,
SHIRLEY AZZOPARDI,,
SIDNEY 'CHIP' FITZPATRICK,,
SJ HOWELL,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/SJ-Howell/,
SK ROSSI,,
STARR EMERY,,
STEPHANIE MONCADA,,
STEVE FITZPATRICK,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Steve-Fitzpatrick/,
STEVEN C KELLY,,
STEVEN DELISLE,,
STEVEN GALLOWAY,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Steven-Galloway/,
SUE VINTON,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Sue-Vinton/,
SUZZANN NORDWICK,,
TAMMIE MILLIGAN,,
TED MORGAN,,
TERRY FALK,,
THERESA MANZELLA,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Theresa-Manzella/,
THOMAS CARLSON,,
THOMAS JENKINS,,
THOMAS MAHON,,
TIM GARRISON,,
TOM FRANCE,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Tom-France/,
TOM MCGILLVRAY,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Tom-McGillvray/,
TOM MILLETT,,
TONY BROCKMAN,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Tony-Brockman/,
TONY TEZAK,,
TRACY A SHARP,,
WAYNE RUSK,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Wayne-Rusk/,
WAYNE STAHL,,
ZACK WIRTH,,
ZOOEY ZEPHYR,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Zooey-Zephyr/,
LINK NEIMARK,,
BRIDGET SMITH,,
LINDA AUCH,,
KATHLEEN GILLULY,,
CHARLES HEADLEY,,
ELIZABETH STORY,,
COLLEEN HINDS,,
TYSON T RUNNING WOLF,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Tyson-Running-Wolf/,
KEVIN LEATHERBARROW,,
JAMES RICKLEY,,
BLAKE BORST,,
VALERIE MOORE,,
BOB AUCH,,
JOSH VISOCAN,,
COLLEEN SCHMELING,,
DEAN WILLIAMSON,,
MARC GREENDORFER,,
JOSHUA A SECKINGER,,
JOLENE  CRUM,,
NANCY JANE LIEN,,
EMILY HARRIS,,
DUSTIN SCOTT,,
PETE ELVERUM,,
WES FEIST,,
MICHELE R CREPEAU,,
GREGG HUNTER,,
PERRI A JACOBS,,
RAE PEPPERS,,
VINCE RICCI,,
TYLER ROGERS,,
NEAL GANSER,,
JIM KEPHART,,
BRUCE SHULTZ,,
GREG L GUTHRIE,,
ABIGAIL MAKI,,
VELVET PHILLIPSSULLIVAN,,
ARTHUR FRETHEIM,,
JENNIFER ALLEN,,
THEDIS CROWE,,
ROLLAND ELY HEAGY,,
LEONARD BATES,,
JOSHUA M ROSALES,,
JAMES G WHITAKER,,
PETE ANDERSON,,
JOHN H  PROUD,,
ANNIE LEATHERBARROW,,
KEVIN TAYLOR,,
KIM KREIDER,,
STAN TAYLOR,,
ANDREA PAYNE,,
KERRI SEEKINS-CROWE,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Kerri-Seekins-Crowe/,
KASSIDY OLSON,,
KIM GILLAN,,
MARY HORMAN,,
LISA BENNETT,,
JERRY JOHNSON,,
OWEN LANG,,
JOE FLYNN,,
ESTHER FISHBAUGH,,
MARLA DAVIS,,
MIKE KLAKKEN,,
ZACH TOMASZEWSKI,,
TRENIN BAYLESS,,
GLENN A LAMBERT,,
LUKE MUSZKIEWICZ,,
LAURA MAE JACKSON,,
ROBERT WALLACE,,
BARBARA W STARMER,,
NICK KNOWLES,,
LISA VERLANIC FOWLER,,
JACE BEARD,,
RYAN DARLING,,
CHRISTOPHER PAUL BUCKLES,,
ANGELA KENNEDY,,
CRAIG PABLO,,
GREGORY FRAZER,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Gregory-Frazer/,
ANNAMARIE WHITE,,
JACINDA MORIGEAU,,
ERICA SIATE,,
STEVE PAUGH,,
JOANNE MORROW,,
BARRY OLSON,,
ELAINE UTTERBACK  MITCHELL,,
JAMES COOMBS,,
MELISSA NIKOLAKAKOS,,
JAMES OSTERMAN,,
JOSH DENULLY,,
JASON ULRICH,,
DA WALLOWING BULL,,
MARK LEWIS,,
H STEIGER,,
ANDY JOHNSON,,
ELENA GAGLIANO,,
JON JACKSON,,
JEFF KEMPKA,,
KENNETH ALLEN,,
DELANEY MALMSTEN,,
ROBERT LABAIR,,
KELLEY DURBIN-WILLIAMS,
JANNA HAFER,
BRAD SIMONIS,
DAVID PASSIERI,
ADAM S HENSON,
STEVE GUNDERSON,
JONATHAN RUSSELL JAMESON,