"district","race","party","numberOfCandidates"
"STATE","UNITED STATES SENATOR","IND","1"
"1ST CONGRESSIONAL","UNITED STATES REPRESENTATIVE","LIB","1"
"1ST CONGRESSIONAL","UNITED STATES REPRESENTATIVE","IND","1"
"2ND CONGRESSIONAL","UNITED STATES REPRESENTATIVE","REP","1"
"2ND CONGRESSIONAL","UNITED STATES REPRESENTATIVE","LIB","1"
"2ND CONGRESSIONAL","UNITED STATES REPRESENTATIVE","IND","1"
"PUBLIC SERVICE COMMISSIONER DISTRICT 1","PUBLIC SERVICE COMMISSIONER, DISTRICT 1","DEM","1"
"PUBLIC SERVICE COMMISSIONER DISTRICT 5","PUBLIC SERVICE COMMISSIONER, DISTRICT 5","DEM","1"
"JUDICIAL DISTRICT 1","DISTRICT COURT JUDGE DISTRICT 1, DEPT 3","NON","1"
"JUDICIAL DISTRICT 4","DISTRICT COURT JUDGE DISTRICT 4, DEPT 5","NON","1"
"JUDICIAL DISTRICT 8","DISTRICT COURT JUDGE DISTRICT 8, DEPT 4","NON","1"
"JUDICIAL DISTRICT 13","DISTRICT COURT JUDGE DISTRICT 13, DEPT 4","NON","1"
"JUDICIAL DISTRICT 13","DISTRICT COURT JUDGE DISTRICT 13, DEPT 5","NON","1"
"JUDICIAL DISTRICT 13","DISTRICT COURT JUDGE DISTRICT 13, DEPT 9","NON","1"
"JUDICIAL DISTRICT 13","DISTRICT COURT JUDGE DISTRICT 13, DEPT 10","NON","1"
"JUDICIAL DISTRICT 18","DISTRICT COURT JUDGE DISTRICT 18, DEPT 2","NON","1"
"JUDICIAL DISTRICT 20","DISTRICT COURT JUDGE DISTRICT 20, DEPT 1","NON","1"
"JUDICIAL DISTRICT 20","DISTRICT COURT JUDGE DISTRICT 20, DEPT 2 UNEXPIRED","NON","1"
"JUDICIAL DISTRICT 21","DISTRICT COURT JUDGE DISTRICT 21, DEPT 2","NON","1"
"SENATE DISTRICT 1","STATE SENATOR DISTRICT 1","DEM","1"
"SENATE DISTRICT 4","STATE SENATOR DISTRICT 4","REP","1"
"SENATE DISTRICT 4","STATE SENATOR DISTRICT 4","DEM","1"
"SENATE DISTRICT 6","STATE SENATOR DISTRICT 6","DEM","1"
"SENATE DISTRICT 6","STATE SENATOR DISTRICT 6","REP","1"
"SENATE DISTRICT 8","STATE SENATOR DISTRICT 8","REP","1"
"SENATE DISTRICT 9","STATE SENATOR DISTRICT 9","DEM","1"
"SENATE DISTRICT 10","STATE SENATOR DISTRICT 10","DEM","1"
"SENATE DISTRICT 14","STATE SENATOR DISTRICT 14","DEM","1"
"SENATE DISTRICT 18","STATE SENATOR DISTRICT 18","DEM","1"
"SENATE DISTRICT 19","STATE SENATOR DISTRICT 19","DEM","1"
"SENATE DISTRICT 22","STATE SENATOR DISTRICT 22","REP","1"
"SENATE DISTRICT 22","STATE SENATOR DISTRICT 22","DEM","1"
"SENATE DISTRICT 23","STATE SENATOR DISTRICT 23","DEM","1"
"SENATE DISTRICT 23","STATE SENATOR DISTRICT 23","REP","1"
"SENATE DISTRICT 25","STATE SENATOR DISTRICT 25","DEM","1"
"SENATE DISTRICT 28","STATE SENATOR DISTRICT 28","DEM","1"
"SENATE DISTRICT 28","STATE SENATOR DISTRICT 28","REP","1"
"SENATE DISTRICT 29","STATE SENATOR DISTRICT 29","DEM","1"
"SENATE DISTRICT 29","STATE SENATOR DISTRICT 29","REP","1"
"SENATE DISTRICT 31","STATE SENATOR DISTRICT 31","DEM","1"
"SENATE DISTRICT 31","STATE SENATOR DISTRICT 31","REP","1"
"SENATE DISTRICT 32","STATE SENATOR DISTRICT 32","REP","1"
"SENATE DISTRICT 34","STATE SENATOR DISTRICT 34","DEM","1"
"SENATE DISTRICT 41","STATE SENATOR DISTRICT 41","LIB","1"
"SENATE DISTRICT 42","STATE SENATOR DISTRICT 42","DEM","1"
"SENATE DISTRICT 43","STATE SENATOR DISTRICT 43","DEM","1"
"SENATE DISTRICT 48","STATE SENATOR DISTRICT 48","DEM","1"
"SENATE DISTRICT 49","STATE SENATOR DISTRICT 49","DEM","1"
"SENATE DISTRICT 49","STATE SENATOR DISTRICT 49","REP","1"
"SENATE DISTRICT 50","STATE SENATOR DISTRICT 50","DEM","1"
"HOUSE DISTRICT 1","STATE REPRESENTATIVE DISTRICT 1","REP","1"
"HOUSE DISTRICT 2","STATE REPRESENTATIVE DISTRICT 2","REP","1"
"HOUSE DISTRICT 2","STATE REPRESENTATIVE DISTRICT 2","DEM","1"
"HOUSE DISTRICT 3","STATE REPRESENTATIVE DISTRICT 3","DEM","1"
"HOUSE DISTRICT 4","STATE REPRESENTATIVE DISTRICT 4","DEM","1"
"HOUSE DISTRICT 5","STATE REPRESENTATIVE DISTRICT 5","REP","1"
"HOUSE DISTRICT 5","STATE REPRESENTATIVE DISTRICT 5","DEM","1"
"HOUSE DISTRICT 6","STATE REPRESENTATIVE DISTRICT 6","DEM","1"
"HOUSE DISTRICT 7","STATE REPRESENTATIVE DISTRICT 7","DEM","1"
"HOUSE DISTRICT 8","STATE REPRESENTATIVE DISTRICT 8","REP","1"
"HOUSE DISTRICT 8","STATE REPRESENTATIVE DISTRICT 8","DEM","1"
"HOUSE DISTRICT 9","STATE REPRESENTATIVE DISTRICT 9","REP","1"
"HOUSE DISTRICT 9","STATE REPRESENTATIVE DISTRICT 9","DEM","1"
"HOUSE DISTRICT 10","STATE REPRESENTATIVE DISTRICT 10","REP","1"
"HOUSE DISTRICT 10","STATE REPRESENTATIVE DISTRICT 10","DEM","1"
"HOUSE DISTRICT 11","STATE REPRESENTATIVE DISTRICT 11","REP","1"
"HOUSE DISTRICT 11","STATE REPRESENTATIVE DISTRICT 11","DEM","1"
"HOUSE DISTRICT 12","STATE REPRESENTATIVE DISTRICT 12","REP","1"
"HOUSE DISTRICT 12","STATE REPRESENTATIVE DISTRICT 12","DEM","1"
"HOUSE DISTRICT 13","STATE REPRESENTATIVE DISTRICT 13","DEM","1"
"HOUSE DISTRICT 14","STATE REPRESENTATIVE DISTRICT 14","REP","1"
"HOUSE DISTRICT 14","STATE REPRESENTATIVE DISTRICT 14","DEM","1"
"HOUSE DISTRICT 15","STATE REPRESENTATIVE DISTRICT 15","REP","1"
"HOUSE DISTRICT 16","STATE REPRESENTATIVE DISTRICT 16","DEM","1"
"HOUSE DISTRICT 17","STATE REPRESENTATIVE DISTRICT 17","DEM","1"
"HOUSE DISTRICT 18","STATE REPRESENTATIVE DISTRICT 18","REP","1"
"HOUSE DISTRICT 19","STATE REPRESENTATIVE DISTRICT 19","DEM","1"
"HOUSE DISTRICT 20","STATE REPRESENTATIVE DISTRICT 20","DEM","1"
"HOUSE DISTRICT 21","STATE REPRESENTATIVE DISTRICT 21","DEM","1"
"HOUSE DISTRICT 22","STATE REPRESENTATIVE DISTRICT 22","DEM","1"
"HOUSE DISTRICT 22","STATE REPRESENTATIVE DISTRICT 22","LIB","1"
"HOUSE DISTRICT 23","STATE REPRESENTATIVE DISTRICT 23","DEM","1"
"HOUSE DISTRICT 24","STATE REPRESENTATIVE DISTRICT 24","REP","1"
"HOUSE DISTRICT 24","STATE REPRESENTATIVE DISTRICT 24","DEM","1"
"HOUSE DISTRICT 25","STATE REPRESENTATIVE DISTRICT 25","REP","1"
"HOUSE DISTRICT 25","STATE REPRESENTATIVE DISTRICT 25","DEM","1"
"HOUSE DISTRICT 26","STATE REPRESENTATIVE DISTRICT 26","DEM","1"
"HOUSE DISTRICT 26","STATE REPRESENTATIVE DISTRICT 26","REP","1"
"HOUSE DISTRICT 27","STATE REPRESENTATIVE DISTRICT 27","DEM","1"
"HOUSE DISTRICT 27","STATE REPRESENTATIVE DISTRICT 27","LIB","1"
"HOUSE DISTRICT 30","STATE REPRESENTATIVE DISTRICT 30","REP","1"
"HOUSE DISTRICT 30","STATE REPRESENTATIVE DISTRICT 30","DEM","1"
"HOUSE DISTRICT 32","STATE REPRESENTATIVE DISTRICT 32","DEM","1"
"HOUSE DISTRICT 33","STATE REPRESENTATIVE DISTRICT 33","DEM","1"
"HOUSE DISTRICT 34","STATE REPRESENTATIVE DISTRICT 34","DEM","1"
"HOUSE DISTRICT 35","STATE REPRESENTATIVE DISTRICT 35","REP","1"
"HOUSE DISTRICT 35","STATE REPRESENTATIVE DISTRICT 35","DEM","1"
"HOUSE DISTRICT 36","STATE REPRESENTATIVE DISTRICT 36","DEM","1"
"HOUSE DISTRICT 37","STATE REPRESENTATIVE DISTRICT 37","REP","1"
"HOUSE DISTRICT 37","STATE REPRESENTATIVE DISTRICT 37","IND","1"
"HOUSE DISTRICT 37","STATE REPRESENTATIVE DISTRICT 37","DEM","1"
"HOUSE DISTRICT 38","STATE REPRESENTATIVE DISTRICT 38","REP","1"
"HOUSE DISTRICT 39","STATE REPRESENTATIVE DISTRICT 39","DEM","1"
"HOUSE DISTRICT 39","STATE REPRESENTATIVE DISTRICT 39","REP","1"
"HOUSE DISTRICT 40","STATE REPRESENTATIVE DISTRICT 40","DEM","1"
"HOUSE DISTRICT 41","STATE REPRESENTATIVE DISTRICT 41","DEM","1"
"HOUSE DISTRICT 42","STATE REPRESENTATIVE DISTRICT 42","DEM","1"
"HOUSE DISTRICT 42","STATE REPRESENTATIVE DISTRICT 42","REP","1"
"HOUSE DISTRICT 43","STATE REPRESENTATIVE DISTRICT 43","REP","1"
"HOUSE DISTRICT 43","STATE REPRESENTATIVE DISTRICT 43","DEM","1"
"HOUSE DISTRICT 44","STATE REPRESENTATIVE DISTRICT 44","DEM","1"
"HOUSE DISTRICT 44","STATE REPRESENTATIVE DISTRICT 44","REP","1"
"HOUSE DISTRICT 45","STATE REPRESENTATIVE DISTRICT 45","DEM","1"
"HOUSE DISTRICT 45","STATE REPRESENTATIVE DISTRICT 45","REP","1"
"HOUSE DISTRICT 46","STATE REPRESENTATIVE DISTRICT 46","REP","1"
"HOUSE DISTRICT 47","STATE REPRESENTATIVE DISTRICT 47","DEM","1"
"HOUSE DISTRICT 48","STATE REPRESENTATIVE DISTRICT 48","REP","1"
"HOUSE DISTRICT 48","STATE REPRESENTATIVE DISTRICT 48","DEM","1"
"HOUSE DISTRICT 49","STATE REPRESENTATIVE DISTRICT 49","DEM","1"
"HOUSE DISTRICT 50","STATE REPRESENTATIVE DISTRICT 50","REP","1"
"HOUSE DISTRICT 50","STATE REPRESENTATIVE DISTRICT 50","DEM","1"
"HOUSE DISTRICT 51","STATE REPRESENTATIVE DISTRICT 51","DEM","1"
"HOUSE DISTRICT 52","STATE REPRESENTATIVE DISTRICT 52","DEM","1"
"HOUSE DISTRICT 53","STATE REPRESENTATIVE DISTRICT 53","DEM","1"
"HOUSE DISTRICT 54","STATE REPRESENTATIVE DISTRICT 54","REP","1"
"HOUSE DISTRICT 54","STATE REPRESENTATIVE DISTRICT 54","DEM","1"
"HOUSE DISTRICT 55","STATE REPRESENTATIVE DISTRICT 55","DEM","1"
"HOUSE DISTRICT 56","STATE REPRESENTATIVE DISTRICT 56","REP","1"
"HOUSE DISTRICT 57","STATE REPRESENTATIVE DISTRICT 57","REP","1"
"HOUSE DISTRICT 57","STATE REPRESENTATIVE DISTRICT 57","DEM","1"
"HOUSE DISTRICT 58","STATE REPRESENTATIVE DISTRICT 58","DEM","1"
"HOUSE DISTRICT 58","STATE REPRESENTATIVE DISTRICT 58","REP","1"
"HOUSE DISTRICT 59","STATE REPRESENTATIVE DISTRICT 59","REP","1"
"HOUSE DISTRICT 59","STATE REPRESENTATIVE DISTRICT 59","DEM","1"
"HOUSE DISTRICT 60","STATE REPRESENTATIVE DISTRICT 60","REP","1"
"HOUSE DISTRICT 60","STATE REPRESENTATIVE DISTRICT 60","DEM","1"
"HOUSE DISTRICT 61","STATE REPRESENTATIVE DISTRICT 61","REP","1"
"HOUSE DISTRICT 62","STATE REPRESENTATIVE DISTRICT 62","DEM","1"
"HOUSE DISTRICT 62","STATE REPRESENTATIVE DISTRICT 62","REP","1"
"HOUSE DISTRICT 63","STATE REPRESENTATIVE DISTRICT 63","DEM","1"
"HOUSE DISTRICT 63","STATE REPRESENTATIVE DISTRICT 63","REP","1"
"HOUSE DISTRICT 64","STATE REPRESENTATIVE DISTRICT 64","REP","1"
"HOUSE DISTRICT 64","STATE REPRESENTATIVE DISTRICT 64","DEM","1"
"HOUSE DISTRICT 65","STATE REPRESENTATIVE DISTRICT 65","DEM","1"
"HOUSE DISTRICT 65","STATE REPRESENTATIVE DISTRICT 65","REP","1"
"HOUSE DISTRICT 66","STATE REPRESENTATIVE DISTRICT 66","DEM","1"
"HOUSE DISTRICT 66","STATE REPRESENTATIVE DISTRICT 66","REP","1"
"HOUSE DISTRICT 67","STATE REPRESENTATIVE DISTRICT 67","DEM","1"
"HOUSE DISTRICT 68","STATE REPRESENTATIVE DISTRICT 68","DEM","1"
"HOUSE DISTRICT 70","STATE REPRESENTATIVE DISTRICT 70","DEM","1"
"HOUSE DISTRICT 70","STATE REPRESENTATIVE DISTRICT 70","REP","1"
"HOUSE DISTRICT 71","STATE REPRESENTATIVE DISTRICT 71","DEM","1"
"HOUSE DISTRICT 71","STATE REPRESENTATIVE DISTRICT 71","REP","1"
"HOUSE DISTRICT 72","STATE REPRESENTATIVE DISTRICT 72","DEM","1"
"HOUSE DISTRICT 72","STATE REPRESENTATIVE DISTRICT 72","REP","1"
"HOUSE DISTRICT 73","STATE REPRESENTATIVE DISTRICT 73","DEM","1"
"HOUSE DISTRICT 73","STATE REPRESENTATIVE DISTRICT 73","REP","1"
"HOUSE DISTRICT 74","STATE REPRESENTATIVE DISTRICT 74","DEM","1"
"HOUSE DISTRICT 74","STATE REPRESENTATIVE DISTRICT 74","REP","1"
"HOUSE DISTRICT 75","STATE REPRESENTATIVE DISTRICT 75","DEM","1"
"HOUSE DISTRICT 75","STATE REPRESENTATIVE DISTRICT 75","LIB","1"
"HOUSE DISTRICT 75","STATE REPRESENTATIVE DISTRICT 75","REP","1"
"HOUSE DISTRICT 76","STATE REPRESENTATIVE DISTRICT 76","IND","1"
"HOUSE DISTRICT 77","STATE REPRESENTATIVE DISTRICT 77","REP","1"
"HOUSE DISTRICT 77","STATE REPRESENTATIVE DISTRICT 77","DEM","1"
"HOUSE DISTRICT 78","STATE REPRESENTATIVE DISTRICT 78","REP","1"
"HOUSE DISTRICT 78","STATE REPRESENTATIVE DISTRICT 78","DEM","1"
"HOUSE DISTRICT 79","STATE REPRESENTATIVE DISTRICT 79","DEM","1"
"HOUSE DISTRICT 79","STATE REPRESENTATIVE DISTRICT 79","REP","1"
"HOUSE DISTRICT 80","STATE REPRESENTATIVE DISTRICT 80","REP","1"
"HOUSE DISTRICT 81","STATE REPRESENTATIVE DISTRICT 81","REP","1"
"HOUSE DISTRICT 82","STATE REPRESENTATIVE DISTRICT 82","DEM","1"
"HOUSE DISTRICT 82","STATE REPRESENTATIVE DISTRICT 82","REP","1"
"HOUSE DISTRICT 83","STATE REPRESENTATIVE DISTRICT 83","REP","1"
"HOUSE DISTRICT 83","STATE REPRESENTATIVE DISTRICT 83","DEM","1"
"HOUSE DISTRICT 85","STATE REPRESENTATIVE DISTRICT 85","DEM","1"
"HOUSE DISTRICT 86","STATE REPRESENTATIVE DISTRICT 86","DEM","1"
"HOUSE DISTRICT 87","STATE REPRESENTATIVE DISTRICT 87","REP","1"
"HOUSE DISTRICT 87","STATE REPRESENTATIVE DISTRICT 87","DEM","1"
"HOUSE DISTRICT 88","STATE REPRESENTATIVE DISTRICT 88","REP","1"
"HOUSE DISTRICT 88","STATE REPRESENTATIVE DISTRICT 88","DEM","1"
"HOUSE DISTRICT 89","STATE REPRESENTATIVE DISTRICT 89","DEM","1"
"HOUSE DISTRICT 89","STATE REPRESENTATIVE DISTRICT 89","REP","1"
"HOUSE DISTRICT 90","STATE REPRESENTATIVE DISTRICT 90","IND","1"
"HOUSE DISTRICT 91","STATE REPRESENTATIVE DISTRICT 91","DEM","1"
"HOUSE DISTRICT 91","STATE REPRESENTATIVE DISTRICT 91","REP","1"
"HOUSE DISTRICT 93","STATE REPRESENTATIVE DISTRICT 93","REP","1"
"HOUSE DISTRICT 94","STATE REPRESENTATIVE DISTRICT 94","REP","1"
"HOUSE DISTRICT 95","STATE REPRESENTATIVE DISTRICT 95","DEM","1"
"HOUSE DISTRICT 96","STATE REPRESENTATIVE DISTRICT 96","DEM","1"
"HOUSE DISTRICT 97","STATE REPRESENTATIVE DISTRICT 97","DEM","1"
"HOUSE DISTRICT 97","STATE REPRESENTATIVE DISTRICT 97","REP","1"
"HOUSE DISTRICT 98","STATE REPRESENTATIVE DISTRICT 98","DEM","1"
"HOUSE DISTRICT 98","STATE REPRESENTATIVE DISTRICT 98","REP","1"
"HOUSE DISTRICT 99","STATE REPRESENTATIVE DISTRICT 99","DEM","1"
"HOUSE DISTRICT 99","STATE REPRESENTATIVE DISTRICT 99","REP","1"
"HOUSE DISTRICT 100","STATE REPRESENTATIVE DISTRICT 100","DEM","1"
"HOUSE DISTRICT 100","STATE REPRESENTATIVE DISTRICT 100","REP","1"
"HOUSE DISTRICT 100","STATE REPRESENTATIVE DISTRICT 100","LIB","1"
